name,hours,website,storetype,location,phonenumber,image,mapurl
Journeys Kidz,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.anrdoezrs.net/click-101198361-15735284,Store,Upper Level Nordstrom Wing next to American Eagle,(512)961-5832 ,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2854.png?yocs=D_NA_,
Kay Jewelers,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.kay.com/,Store,Upper Level Macy's Court next to ALDO,(512)327-2405,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2919.png?yocs=D_NA_,
Kids Foot Locker,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://kidsfootlocker.t2bw9u.net/c/5536174/764038/11066,Store,Lower Level next to Zumiez,(512) 306-0195,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2968.png?yocs=D_NA_,
Knockout Wear,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://kowear.com/,Store,Upper Level Dillard's Wing next to ALDO,(512) 243-7822,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/30975.png?yocs=D_NA_,
L'Amour Nails,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://lamournailsaustin.com/,Store,Upper Level Dillard's Wing next to JCPenney,(512) 327-3316,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3092.png?yocs=D_NA_,
LEGO Store,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM***,http://www.lego.com/,Store,Upper Level Nordstrom Wing near Aveda,(512) 327-7100,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3554.png?yocs=D_NA_,
LensCrafters,Monday to Thursday 11AM - 7PM***Friday to Saturday 10AM - 8PM***Sunday 12PM - 6PM***,https://www.lenscrafters.com/,Store,Lower Level across from Old Navy,(512) 328-1220,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3560.png?yocs=D_NA_,
Lids,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6PM,https://lids.7q8j.net/c/5536174/587280/9679,Store,Lower Level Elevator Court across from Starbucks,(512) 306-1021,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3579.png?yocs=D_NA_,
LOFT,Monday to Thursday 11AM - 7PM***Friday to Saturday 10AM - 7PM***Sunday 12PM - 6PM,https://www.loft.com/,Store,Lower Level Nordstrom Wing near J.Crew,(512) 732-2830,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/257.png?yocs=D_NA_,
LoveSac,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.lovesac.com/,Store,Lower Level Nordstrom Wing next to Lululemon,(512) 668-9473,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/7091.png?yocs=D_NA_,
Lovisa,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.lovisa.com/,Store,Upper Level next to Kay Jewelers,(512) 229-0483,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/29480.png?yocs=D_NA_,
Lucky Brand,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.luckybrand.com/,Store,Lower Level Macy's Court next to Coach,(512) 329-0455,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3684.png?yocs=D_NA_,
lululemon,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.lululemon.com/,Store,Lower Level Nordstrom Wing across from Coach,(512) 329-5541,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/14653.png?yocs=D_NA_,
Luxury Day Spa,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://luxurynailsdayspatx.com/,Store,Lower Level Nordstrom Wing next to Nordstrom,(512) 296-2698,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/30331.png?yocs=D_NA_,
Macy*s,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.kqzyfj.com/click-101198361-15325469,Store,Anchor,(512) 329-2300,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3711.png?yocs=D_NA_,
Mall Management Office,Monday to Thursday 11AM - 5PM***Friday 10AM - 5PM***Saturday to Sunday Closed,,Store,Lower Level across from Old Navy,(512) 327-7041,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3750.png?yocs=D_NA_,
Man Outfitters,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://manoutfitters.com/,Store,Lower Level Dillard's Wing across from Apple,(512) 327-7041,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/35275.png?yocs=D_NA_,
Marble Slab Creamery,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.marbleslab.com/,Restaurant,"
Upper Level Food Court near Chick-fil-A",(512) 327-0939,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3778.png?yocs=D_NA_,
Marc Robinson Jewelers,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.marcrobinsonjewelers.com/,Store,Upper Level Macy's Court next to Offline by Aerie,(512) 627-5133,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/24825.png?yocs=D_NA_,
Men's Wearhouse,Monday to Saturday 11AM - 8PM***Sunday 12PM - 6PM,https://www.menswearhouse.com/,Store,Lower Level Dillard's Wing across from Champs,(512) 327-5771,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3873.png?yocs=D_NA_,
Michael Kors,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6AM,https://www.michaelkors.com/,Store,Lower Level Macy's Court across from Oakley,(512) 329-5444,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/11101.png?yocs=D_NA_,
Miss A,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.shopmissa.com/,Store,Upper Level near Auntie Anne's,(346) 550-3865,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/26972.png?yocs=D_NA_,
Nordstrom,Monday to Saturday 10AM - 9PM***Sunday 11AM - 7PM,https://shop.nordstrom.com/,Store,Anchor,(512) 691-3500,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4217.png?yocs=D_NA_,
Nordstrom Alterations,Monday to Saturday 10AM - 9PM***Sunday 11AM - 7PM***,https://www.nordstrom.com/browse/services/alterations,Store,Anchor,(512) 691-3500,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/logo-filler-services.jpg?yocs=D_NA_,
Nordstrom Bistro,Monday to Thursday 11AM - 7PM***Friday to Saturday 11AM - 8PM***Sunday 11AM - 6PM,https://www.nordstrom.com/store-details/united-states/tx/austin/nordstrom-barton-creek-square,Restaurant,Upper Level inside Nordstrom,(512) 691-3510,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/21865.png?yocs=D_NA_,
Nordstrom Ebar,Monday to Saturday 9AM - 7:30PM***Sunday 10AM - 6PM,https://www.nordstrom.com/store-details/united-states/tx/austin/nordstrom-barton-creek-square,Restaurant,Lower Level inside Nordstrom,(512) 691-3511,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/15682.png?yocs=D_NA_,
Oakley,Monday to Friday 11AM - 8PM***Saturday 10AM - 8PM***Sunday 12PM - 6PM,https://www.oakley.com/,Store,Lower Level Macy's Court next to Banana Republic,(512) 328-0203,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4267.png?yocs=D_NA_,
OChi Reflexology,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Upper Level Dillards Wing next to Express,(718) 971-4437,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/25527.png?yocs=D_NA_,
OFFLINE by Aerie,Monday to Thursday 11AM - 7PM***Friday 11AM - 8PM***Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://storelocations.ae.com/us/tx/austin/2901-s-capital-of-texas.html,Store,Upper Level Nordstrom Wing next to Gap,(512) 541-3807,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/32723.png?yocs=D_NA_,
Old Navy,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.oldnavy.com/,Store,Lower Level next to The Cheesecake Factory,(512) 328-0959,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4289.png?yocs=D_NA_,
Pacsun,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.dpbolvw.net/click-101198360-13982109,Store,Upper Level Nordstrom Wing near Hollister,(512) 306-9592,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4402.png?yocs=D_NA_,
Panda Express,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6PM,https://www.pandaexpress.com/locations/tx/austin/2901-s-capitol-of-texas-hwy,Restaurant,Upper Level Food Court near Chick-FIl-A,(512) 306-1678,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4424.png?yocs=D_NA_,
Pandora,Monday to Thursday 11AM - 8:30PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.pandora.net/,Store,Lower Level Dillards Wing near Apple,(757) 204-7730,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/17531.png?yocs=D_NA_,
Perfume Gallery,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Upper Level near Vans,(757) 280-5665,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4510.png?yocs=D_NA_,
Pinkberry,Monday to Thursday 12PM - 7PM***Friday 12PM - 9PM***Saturday 11AM - 9PM***Sunday 12PM - 6PM,http://www.pinkberry.com/,Restaurant,Lower Level Macy's Court near Oakley,(512) 792-9110,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/19383.png?yocs=D_NA_,
Pokemaniacs,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://clicktime.symantec.com/3GfsTmgkh38GQGvpQA5NzNo7Vc?u=https%3A%2F%2Fm.facebook.com%2FPokemaniacsLakelineMall%2F,Store,Upper Level Nordstrom Wing near Nordstrom,(512) 257-2510,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/31378.png?yocs=D_NA_,
Polvos,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://polvosaustin.com/,Restaurant,Outer Ring Road across from JCPenney,(512) 744-6266,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/logo-filler-dining.jpg?yocs=D_NA_,
Popeyes Chicken,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.popeyes.com/,Restaurant,Upper Level Food Court next to Panda Express,(757) 237-0527,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4646.png?yocs=D_NA_,
Press Play,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Upper Level Nordstrom Wing next to Nordstrom,(512) 330-9654,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/26017.png?yocs=D_NA_,
Pro Image Sports,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Lower Level Dillards Wing next to Men's Wearhouse,(512) 243-8102,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/24988.png?yocs=D_NA_,
RubyThai,Monday to Thursday 11AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 11AM - 6PM,http://www.irg168.com/rubythai.html,Restaurant,"Upper Level Food Court next to
SarkuJ apan",(512)306-9964,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/17703.png?yocs=D_NA_,
Sarku Japan,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.sarkujapan.com/,Restaurant,Upper Level Food Court next to Four Brothers,(512) 717-4389,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4970.png?yocs=D_NA_,
Sephora,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.sephora.com/,Store,Upper Level Dillards Wing next to Windsor,(512) 327-4600,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5044.png?yocs=D_NA_,
Shoe Palace,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.shoepalace.com/,Store,Lower Level Dillards Wing near JCPenney,(512) 328-0900,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/15684.png?yocs=D_NA_,
Simon Guest Services,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6PM,,Store,Lower Level Macys Court,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5160.png?yocs=D_NA_,
Skechers,Monday to Thursday 12PM - 6PM***Friday to Saturday 10AM - 6PM***Sunday 12PM - 6PM,http://www.skechers.com/default.jhtml?refid=over201&code=overfree,Store,Upper Level across from the Food Court,(512) 732-1882,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5174.png?yocs=D_NA_,
Smoothies Paradise Yogurt,Monday to Friday 11AM - 7PM***Saturday 11AM - 8PM***Sunday 12PM - 6PM,https://www.smoothiesparadise.com/,Restaurant,Lower Level across from The Cheesecake Factory,(512) 577-7701,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5200.png?yocs=D_NA_,
Snack Plus,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Uoper Level across from the Food Court,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/logo-filler-bag.jpg?yocs=D_NA_,
Snatched Shapewear,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://snatchedshapewear.us/,Store,Lower Level Dillards Wing near Attic Salt,(512) 330-4365,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/36152.png?yocs=D_NA_,
Sola Salons,Monday to Saturday 8AM - 6PM***Sunday Closed,https://www.solasalonstudios.com/locations/barton-creek,Store,Uper Level Nordstrom Wing next to Nordstrom,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/27819.png?yocs=D_NA_,
Soma Intimates,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://soma.sjv.io/c/5536174/1390200/16595,Store,Lower Level Nordstrom Wing near James Avery,(512) 329-5587,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/14793.png?yocs=D_NA_,
Spencer Gifts,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.spencergifts.com/,Store,Lower Level next to AT&T,(800) 762-0419,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5269.png?yocs=D_NA_,
Spirit Halloween,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.spirithalloween.com/,Store,Lower Level Dillards Wing near Abercrombie & Fitch,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/30537.png?yocs=D_NA_,
Steve Madden,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.stevemadden.com/,Store,Lower Level Nordstrom Wing near Bath & Body Works,(512) 732-0778,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5344.png?yocs=D_NA_,
Sunglass Hut International,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.sunglasshut.com/,Store,Lower Level Dillards Wing near Champs,(512) 327-7450,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5850.png?yocs=D_NA_,
The B-12 Store,Monday to Tuesday 10AM - 7PM***Wednesday to Saturday 10AM - 8PM***Sunday 12PM - 6PM,https://www.theb12store.com/austin.html,Store,Upper Level next to Aveda,(737) 267-5094,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/27670.png?yocs=D_NA_,
The Cheesecake Factory,Monday to Thursday 11AM - 10PM***Friday to Saturday 11AM - 11PM***Sunday 11AM - 10PM,http://www.thecheesecakefactory.com/,Restaurant,Lower Level across from the AMC Theater,(512) 330-9315,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5505.png?yocs=D_NA_,
The Children's Place,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://childrensplace.com/,Store,Upper Level Nordstrom Wing near Build-A-Bear Workshop,(512) 330-1750,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5506.png?yocs=D_NA_,
The Gift Solution,Monday to Saturday 11AM - 6PM***Sunday 12AM - 6PM,http://www.austinboutique.com/,Store,Lower Level Dillard's Wing next to Dillard's Women & Home,(512) 327-8717,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/6066.png?yocs=D_NA_,
Tillys,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.tillys.com/,Store,Lower Level Dillards Wing next to Chico's,(512) 712-1170,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/12596.png?yocs=D_NA_,
Totally Tea,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://thatbobatho.com/,Restaurant,Lower Level Macy's Court near Zales Jewelers,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/31915.png?yocs=D_NA_,
Toys RUs at Macy's,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://l.macys.com/austin-tx?cm_sp=localmacys-_-visitstorelink-_-_locator,Store,Anchor,(512) 329-2300,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/34453.png?yocs=D_NA_,
Tradehome Shoes,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.tradehome.com/,Store,Upper Level Dillards Wing next to francesca's,(512) 294-2877,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/6283.png?yocs=D_NA_,
Twisted Cork,Monday to Thursday 12PM - 7:30PM***Friday to Saturday 12PM - 8:30PM***Sunday 12PM - 5:30PM,https://www.twistedcork.wine/,Restaurant,Upper Level near the Food Court,(512) 518-3808,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/30509.png?yocs=D_NA_,
Universe Jewelry,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.universejewelry.net/,Store,Upper Level Dillard's Wing near Dillards Men & Children,(512) 563-9555,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/31835.png?yocs=D_NA_,
USA Toy,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.usatoyfactory.com/,Store,Upper Level near Vans,(512) 428-5494,https://www.usatoyfactory.com/,
Vans,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.vans.com/en-us,Store,Upper Level across fromJD Sports,(512) 306-0738,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/6445.png?yocs=D_NA_,
Victoria's Secret,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.victoriassecret.com/,Store,Upper Level Dillard's Wing next to Helzberg Diamonds,(512) 306-0749,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5526.png?yocs=D_NA_,
Villa Fresh Italian Kitchen,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.villaitaliankitchen.com/,Restaurant,Upper Level Food Court near Sarku Japan,(512) 328-9927,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/12756.png?yocs=D_NA_,
Warby Parker,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6PM,http://www.warbyparker.com/,Store,Lower Level Nordstrom Wing next to Altar'd State,(737) 214-1782,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/28709.png?yocs=D_NA_,
